domain,current_source,current_relational_coverage,target_pg_schema,target_tables,cache_role,phase,risk,exit_gate,perimetro_rev2
Contanti / Glory,cashTxDenoms; handheldCashSessions; automatic-cash domain,app-state + hardware gateway,payments,cash_sessions; cash_movements; cash_movement_denominations; cash_device_operations,presence/device status volatile,P7,critico,stato finanziario PG; I/O hardware fuori transazione,IN PERIMETRO
Fiscale,fiscalReceipts/fiscalEvents,SQLite fiscal_receipts + fiscal_outbox,fiscal,documents; operations; outbox,nessun fiscale autorevole in cache in-process,P8,critico,outbox transazionale; restart/retry no duplicati,IN PERIMETRO
Stampa,printSpoolJobs,SQLite print_spool,operations,print_jobs; print_attempts,worker wakeup/pubsub opzionale,P8,alto,job persistito prima ACK; lease SKIP LOCKED,IN PERIMETRO
Idempotenza / command inbox,feature flags + SQLite relational,idempotency_keys + command_inbox,messaging,idempotency_keys; command_inbox,cache hint solo se non indebolisce DB constraint,P2/P7,critico,UNIQUE DB e replay deterministico,IN PERIMETRO
Outbox / realtime,event_outbox + payment mirror + MQTT/SSE,SQLite relational backbone,messaging,event_outbox; consumers; dead_letters,pubsub per fanout,P2/P9,critico,evento business nello stesso commit; Redis non necessario alla durabilità,IN PERIMETRO
Audit,auditEvents + split repo,SQLite audit_events,audit,events,nessuno,P2-P9,critico,append-only e transazionale per eventi critici,IN PERIMETRO
Smart customers,smartCustomers nested passes/accessLog/transactions,app-state only,crm,customers; customer_passes; customer_access_events; customer_transactions,cache profilo opzionale,P10,medio,nessun array storico nested autorevole,IN PERIMETRO
Smart non fiscal,smartNonFiscal,app-state only,fiscal,non_fiscal_transactions,nessuno,P10,medio,mappatura e retention definite,IN PERIMETRO
Radio / mobile battery / device state,posSettings + modules radio/mobile-battery,prevalentemente runtime/config,operations,device_registry; device_status_events; radio_preferences,forte uso presence/status TTL,P10,medio,config durabile PG; heartbeat volatile Redis,IN PERIMETRO
Reports / analytics,derivati da app state + relational read models,misto,analytics,views/materialized views solo se necessarie,cache report breve,P11,medio,report finanziari derivano solo da PG,IN PERIMETRO
